# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cpu-clock:ppp'
# Event count (approx.): 2639250000
#
# Overhead  Command          Shared Object              Symbol
# ........  ...............  .........................  ...................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.06%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DateFormat::create(icu_72::DateFormat::EStyle, icu_72::DateFormat::EStyle, icu_72::Locale const&)
     0.06%  countwords_par_  libicui18n.so.72.1         [.] icu_72::Locale::~Locale()@plt
     0.06%  countwords_par_  libicui18n.so.72.1         [.] icu_72::MeasureUnit::MeasureUnit()
     0.06%  countwords_par_  libicui18n.so.72.1         [.] icu_72::UMemory::operator new[](unsigned long)@plt
     0.06%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::Grouper::forStrategy(UNumberGroupingStrategy)
     0.06%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::SymbolsWrapper::~SymbolsWrapper()
     0.06%  countwords_par_  libicui18n.so.72.1         [.] 0x0000000000151ae1
     0.06%  countwords_par_  libicuuc.so.72.1           [.] icu_72::CharString::extract(char*, int, UErrorCode&) const
     0.06%  countwords_par_  libicuuc.so.72.1           [.] icu_72::Locale::Locale(icu_72::Locale&&)
     0.06%  countwords_par_  libicuuc.so.72.1           [.] icu_72::SimpleFormatter::applyPatternMinMaxArguments(icu_72::UnicodeString const&, int, int, UErrorCode&)
     0.06%  countwords_par_  libicuuc.so.72.1           [.] icu_72::SimpleFormatter::format(icu_72::UnicodeString const&, icu_72::UnicodeString const&, icu_72::UnicodeString&, UErrorCode&) const
     0.06%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnicodeString::operator=(icu_72::UnicodeString const&)
     0.06%  countwords_par_  libicuuc.so.72.1           [.] icu_72::ucache_hashKeys_72(UElement)
     0.06%  countwords_par_  libicuuc.so.72.1           [.] malloc@plt
     0.06%  countwords_par_  libicuuc.so.72.1           [.] pthread_mutex_lock@plt
     0.06%  countwords_par_  libicuuc.so.72.1           [.] res_getArrayItem_72
     0.06%  countwords_par_  libicuuc.so.72.1           [.] strcmp@plt
     0.06%  countwords_par_  libicuuc.so.72.1           [.] uhash_find_72
     0.06%  countwords_par_  libicuuc.so.72.1           [.] uloc_getName_72
     0.06%  countwords_par_  libicuuc.so.72.1           [.] uprv_add32_overflow_72
